RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3879261981,1,1,-,4,4,2,0,5
3879258283,1,4,-,4,4,2,4,1
3879248890,1,8,1weather,4,4,2,4,4
3879245036,1,8,yahoo,4,4,2,6,9
3879210502,1,4,-,3,3,1,4,7
3879207640,1,1,-,3,3,1,3,5
3879205854,1,5,-,1,1,1,6,1
3879196296,1,2,-,4,4,2,4,5
3879194705,1,5,-,4,3,1,2,8
3879189511,1,5,-,4,2,1,6,5
3879186514,1,2,-,4,4,2,0,7
3879159385,1,5,-,4,4,2,4,8
3879157578,0,2,-,3,2,1,3,3
3879152338,0,5,-,3,2,1,7,5
3879139489,1,6,-,1,4,2,5,7
3879106766,1,5,-,4,4,1,1,2
3879102520,1,2,-,4,3,1,4,3
3879102450,1,1,-,3,4,2,5,6
3879094933,1,4,-,4,3,1,4,3
3879090979,1,5,-,3,4,1,10,1
3879055766,1,8,Weather Bug App,1,3,1,7,2
3879048742,1,5,-,3,3,1,0,5
3879043041,1,2,-,2,4,2,5,3
3879024100,1,3,-,4,4,1,6,4
3879022427,1,8,Yo Window,1,4,2,3,3
3879018623,1,1,-,3,4,2,6,2
3879014394,1,8,Weather bug,2,4,1,4,2
3878997264,1,8,Dark Sky,4,4,1,10,2
3878995654,1,4,-,1,3,1,9,2
3878993313,1,2,-,1,4,2,6,7
3878975679,1,2,-,2,4,2,2,5
3878973380,1,1,-,4,3,1,5,6
3878972273,1,5,-,1,3,1,6,2
3878971737,1,1,-,4,4,2,4,1
3878964663,1,3,-,2,4,2,5,2
3878957212,0,2,-,1,3,1,5,5
3878949789,1,8,Weatherbug,3,4,1,7,2
3878945643,1,2,-,3,4,1,3,2
3878940858,1,2,-,2,4,1,1,999
3878922314,1,5,-,2,3,1,9,3
3878908574,1,1,-,4,3,1,9,4
3878851367,1,4,-,4,4,2,0,3
3878801345,1,2,-,4,4,1,6,5
3878776250,1,2,-,1,4,1,0,5
3878773688,1,5,-,4,3,1,4,3
3878724412,1,4,-,1,3,1,6,7
3878675581,1,5,-,4,1,1,2,2
3878672825,1,8,Accuweather,3,2,2,6,9
3878664404,1,6,-,4,4,1,4,9
3878664002,1,8,aol,2,4,1,3,3
3878617605,0,3,-,1,3,1,0,9
3878604937,0,4,-,3,3,1,6,2
3878604458,1,2,-,3,2,2,1,6
3878594142,0,7,-,1,2,2,2,999
3878581130,1,2,-,3,4,2,5,3
3878580386,1,5,-,3,2,2,2,9
3878574698,1,8,NOAA and The Weather Channel,1,2,2,2,9
3878562127,0,2,-,1,4,1,0,9
3878555115,1,8,weatherbug,3,2,2,0,9
3878547877,0,4,-,2,4,2,4,9
3878539231,0,4,-,3,3,1,6,5
3878537531,0,5,-,1,4,1,0,9
3878536105,1,8,Weather Kitty,3,2,2,2,9
3878534855,1,7,-,1,4,2,6,9
3878533095,1,5,-,4,2,2,1,4
3878527607,0,5,-,2,4,2,4,9
3878526543,1,8,"Internet, tv, radio, newspaper",4,4,1,10,2
3878522121,1,1,-,1,3,1,3,2
3878521585,0,8,App on Iphone,2,2,2,2,9
3878520921,1,5,-,4,4,2,9,9
3878517202,1,4,-,3,4,2,4,3
3878516380,1,8,yr.no,3,2,2,0,999
3878513419,0,5,-,1,4,1,0,9
3878510837,0,5,-,1,2,2,3,9
3878488034,1,5,-,4,4,1,6,9
3878487715,1,7,-,3,4,2,0,9
3878487142,0,4,-,1,4,2,6,4
3878483534,0,4,-,3,4,1,0,9
3878479362,1,1,-,4,2,2,4,9
3878466821,1,8,weather.com,4,4,2,0,9
3878465693,1,5,-,4,2,2,0,8
3878464503,1,7,-,1,4,2,8,9
3878462883,0,2,-,3,2,1,0,9
3878450038,1,2,-,1,4,1,0,7
3878449625,0,2,-,1,2,2,2,9
3878445660,1,2,-,4,3,1,3,9
3878443579,1,4,-,3,3,1,6,9
3878436241,0,4,-,2,4,2,7,9
3878436018,1,4,-,4,1,1,3,9
3878432043,1,5,-,3,2,2,2,5
3878431247,1,1,-,4,4,2,3,9
3878426886,1,1,-,2,2,2,6,7
3878426515,1,2,-,1,4,1,4,1
3878425988,0,4,-,2,4,2,0,9
3878424879,1,2,-,1,4,1,2,8
3878417014,1,4,-,4,4,2,5,3
3878413474,1,4,-,4,2,2,0,5
3878409427,0,5,-,4,2,2,3,5
3878405540,0,4,-,2,4,1,4,5
3878404884,1,1,-,4,4,1,2,2
3878404363,0,5,-,4,4,2,9,5
3878404022,1,5,-,4,2,2,8,2
3878401700,1,2,-,3,4,2,3,4
3878398785,1,5,-,3,2,2,6,5
3878396691,1,2,-,1,2,1,5,4
3878392986,0,7,-,4,4,2,2,2
3878388646,1,8,weatherunderground,4,4,2,2,9
3878386420,0,1,-,1,1,1,1,9
3878381396,1,8,wunderground.com,1,4,1,4,9
3878370379,1,5,-,3,1,1,7,5
3878365414,1,2,-,1,4,1,4,7
3878359420,0,4,-,2,3,1,4,5
3878352834,1,5,-,1,3,1,5,9
3878349775,1,2,-,1,4,1,5,9
3878349239,1,1,-,4,4,1,0,5
3878348366,0,3,-,1,4,2,0,2
3878348238,1,4,-,4,3,1,6,5
3878345997,1,5,-,4,4,1,6,5
3878345589,1,5,-,4,4,1,4,2
3878340200,0,2,-,4,3,1,6,3
3878340018,1,8,Weather channel app,4,2,2,5,2
3878339582,0,1,-,2,4,1,7,8
3878339411,1,8,weather.com,4,4,2,6,9
3878337550,1,8,intellicast,1,4,1,6,3
3878336326,0,4,-,4,2,2,0,9
3878335390,0,5,-,3,4,2,0,9
3878332804,1,5,-,3,2,2,3,3
3878331425,1,8,Weather Risk,3,3,1,4,5
3878324728,0,4,-,1,1,1,9,7
3878324500,1,4,-,3,4,2,0,2
3878319761,1,8,local newspaper online Weather Bug NOAH,3,4,2,8,5
3878319271,1,4,-,3,4,2,3,3
3878317738,1,2,-,1,4,1,4,9
3878317474,0,1,-,3,4,1,6,9
3878317326,1,2,-,1,2,2,4,7
3878316445,0,1,-,1,4,2,0,8
3878315845,1,2,-,4,3,2,4,8
3878315601,1,8,AccuWeather or Weather Underground,4,3,2,0,1
3878313074,1,3,-,2,4,2,0,5
3878312380,1,5,-,3,4,1,2,6
3878311826,0,4,-,1,4,1,3,999
3878311562,1,5,-,4,2,2,3,5
3878310702,1,3,-,3,4,2,4,5
3878310569,0,7,-,1,4,2,10,9
3878309530,1,8,Weather Underground,4,3,1,3,5
3878302658,0,3,-,4,4,2,3,9
3878296951,0,1,-,3,4,2,5,5
3878296336,1,2,-,2,4,2,6,2
3878295740,1,5,-,4,4,2,4,3
3878293399,1,1,-,3,2,2,10,3
3878293163,1,1,-,1,4,1,4,5
3878291970,1,2,-,3,3,2,0,8
3878286381,1,7,-,2,4,2,7,1
3878284921,1,2,-,4,2,2,10,1
3878284808,1,4,-,1,3,1,0,9
3878280708,1,3,-,3,4,2,3,6
3878278676,1,1,-,4,4,2,10,5
3878278488,1,2,-,3,4,1,10,2
3878278271,1,4,-,1,3,1,0,6
3878277161,1,8,weather.com,4,4,1,10,1
3878275261,1,3,-,2,3,2,5,2
3878274622,1,4,-,2,3,2,5,6
3878270558,1,2,-,2,4,2,3,7
3878270404,0,5,-,1,2,2,6,3
3878269619,1,6,-,3,3,2,9,5
3878269540,1,5,-,1,2,2,0,5
3878268976,1,1,-,4,2,2,4,3
3878267217,1,2,-,4,3,2,3,7
3878263834,1,4,-,4,4,1,10,9
3878263694,1,5,-,1,4,2,0,3
3878262512,1,8,"Weatherbug, Storm",4,3,1,5,6
3878261302,0,8,look/feel the weather outside,1,3,2,8,3
3878259660,1,1,-,4,3,2,4,8
3878256328,1,2,-,4,3,2,1,6
3878255469,1,8,accuweather,3,2,2,3,3
3878255097,0,5,-,2,3,2,6,4
3878253341,1,5,-,3,2,2,4,8
3878252826,1,8,apple-provided site,3,4,2,6,9
3878251387,1,1,-,4,2,2,2,6
3878251359,0,2,-,4,3,2,1,9
3878249188,1,2,-,4,2,2,3,9
3878248250,1,5,-,4,2,2,6,3
3878247540,1,5,-,1,2,2,4,3
3878244194,1,2,-,4,3,1,6,5
3878243755,1,5,-,4,2,2,4,2
3878242397,1,5,-,1,4,2,3,4
3878239927,1,3,-,3,4,1,4,9
3878238124,0,2,-,4,4,1,4,8
3878228000,1,4,-,4,3,2,3,3
3878227923,1,1,-,4,3,1,6,5
3878226107,1,2,-,3,3,2,3,9
3878225639,1,2,-,1,4,2,8,3
3878225361,1,2,-,4,3,2,6,3
3878224262,1,5,-,1,3,2,0,3
3878223377,0,8,Weather channel app on my phone and ipad,3,3,2,8,9
3878219443,1,2,-,4,4,2,7,2
3878215557,1,2,-,3,3,2,5,3
3878215555,1,2,-,4,3,2,6,5
3878209275,1,1,-,4,3,1,2,3
3878209013,1,4,-,4,3,1,4,8
3878208724,0,2,-,1,3,2,4,5
3878205297,1,7,-,4,3,2,5,5
3878204973,1,3,-,3,2,2,4,7
3878204241,1,2,-,1,2,2,3,3
3878201710,1,8,Numerous local weather apps,1,4,2,2,2
3878198621,1,7,-,1,3,2,3,8
3878197524,1,2,-,4,3,2,3,7
3878196162,0,2,-,1,2,2,3,4
3878194430,1,8,The Weather Channel app on my phone,3,3,2,6,7
3878193774,1,5,-,3,2,1,6,4
3878193623,1,2,-,4,3,1,2,7
3878192054,1,8,Accuweather,3,4,1,3,3
3878190686,1,5,-,4,3,2,3,5
3878190060,1,5,-,3,3,2,6,1
3878189246,1,8,Storm Team 4,3,4,1,10,2
3878187831,1,2,-,4,4,2,999,7
3878187206,0,5,-,3,3,2,0,1
3878177832,1,5,-,4,2,1,4,4
3878176797,1,999,-,999,999,999,999,999
3878176285,1,999,-,999,999,999,999,999
3878175971,1,5,-,4,4,1,5,5
3878171501,1,1,-,1,2,2,0,2
3878168802,1,2,-,4,3,2,5,2
3878166803,1,2,-,2,3,2,6,2
3878166171,1,8,KCRA online,1,3,2,0,9
3878162896,1,8,yahoo weather,1,2,2,3,9
3878162631,1,8,Accuweather,4,2,2,3,5
3878162069,0,4,-,3,1,1,5,9
3878160615,1,8,weatherbug on my phone,3,3,2,10,4
3878160534,1,1,-,4,3,2,4,2
3878159600,0,2,-,4,4,2,2,7
3878159123,1,5,-,2,2,2,2,7
3878158418,1,5,-,4,3,1,3,9
3878156563,1,8,the weather channel app on my phone,4,2,2,2,9
3878151947,0,8,Weather Channel.com,4,4,1,0,8
3878147244,1,4,-,4,4,1,2,4
3878146840,1,4,-,3,1,1,2,7
3878144950,1,4,-,1,2,2,0,6
3878139391,1,7,-,2,4,2,5,3
3878137364,1,8,Accuweather,3,3,1,10,999
3878136673,1,8,Weather Channel app on phone,3,3,1,8,9
3878129801,1,4,-,4,3,2,3,7
3878123775,0,4,-,3,4,2,3,9
3878120046,1,5,-,3,2,2,6,9
3878118150,1,8,Weather underground,4,3,1,10,5
3878117988,1,1,-,4,3,1,6,3
3878115959,1,1,-,2,3,2,10,3
3878114690,1,8,yahoo weather,4,4,2,0,8
3878112779,1,1,-,3,4,1,8,5
3878112712,1,8,IPhone,4,3,2,3,3
3878111554,1,2,-,1,4,1,10,9
3878109491,1,5,-,1,1,2,5,3
3878108075,1,8,intellicast,4,2,1,6,5
3878104623,1,5,-,4,3,2,3,8
3878102392,0,2,-,3,3,2,7,9
3878099445,1,2,-,3,1,2,2,4
3878099081,0,1,-,3,1,1,2,4
3878098952,1,1,-,4,1,2,0,3
3878098258,1,8,Weather Channel app android,1,3,1,6,7
3878096992,1,8,NOAA app,3,4,1,7,2
3878096868,1,8,Via my iPhone builtin app,4,4,1,3,8
3878095559,1,1,-,1,1,2,3,2
3878094553,0,4,-,1,1,1,0,999
3878093169,1,1,-,2,4,1,2,6
3878093010,1,4,-,2,3,1,5,5
3878089067,1,5,-,3,1,2,2,8
3878088243,1,5,-,1,1,2,2,3
3878086902,1,5,-,4,3,1,5,9
3878086392,0,4,-,3,1,2,0,9
3878085372,1,8,weatherforyou.com,1,4,2,4,8
3878084501,1,2,-,3,2,2,2,2
3878078991,1,4,-,1,2,2,10,9
3878074226,1,4,-,3,4,2,0,5
3878064767,1,2,-,1,4,1,3,9
3878064239,1,1,-,1,4,2,7,1
3878061795,1,4,-,1,4,1,3,8
3878059916,1,1,-,3,3,1,8,3
3878059307,1,5,-,4,4,2,6,3
3878054163,1,5,-,3,4,2,10,5
3878053524,1,8,Weather Underground through HD Widgets,3,1,2,5,3
3878052764,1,8,Weather Bug,1,3,1,8,9
3878052086,1,5,-,4,2,2,6,9
3878048164,1,1,-,3,3,2,4,9
3878044812,1,4,-,4,1,2,5,4
3878044317,0,5,-,4,3,2,5,3
3878043927,1,1,-,4,3,2,0,2
3878043272,0,5,-,3,1,2,3,8
3878042695,1,5,-,4,1,2,8,2
3878041562,1,1,-,4,3,2,3,7
3878040881,1,7,-,1,3,2,5,2
3878040492,1,2,-,3,2,2,0,9
3878040326,1,2,-,3,2,2,4,3
3878038987,1,1,-,4,3,2,5,8
3878037165,1,8,weather app,4,2,2,0,4
3878035259,1,2,-,4,4,1,6,9
3878035151,1,8,AccuWeather,3,2,2,10,3
3878035092,1,2,-,4,2,2,3,5
3878034412,1,2,-,1,4,2,2,4
3878033239,1,5,-,4,1,2,5,3
3878032634,1,4,-,3,1,2,2,8
3878032607,1,5,-,4,4,2,5,9
3878032087,1,2,-,4,3,2,5,2
3878031030,1,8,iPhone app,3,2,2,5,3
3878023139,0,2,-,4,1,2,1,5
3878020495,0,8,National Weather Service site,1,3,2,8,2
3878020282,1,7,-,4,4,2,6,1
3878019960,1,4,-,1,2,2,6,3
3878019423,1,2,-,4,4,2,10,5
3878018322,1,7,-,3,4,1,0,3
3878018310,1,1,-,4,4,1,7,1
3878016803,1,8,accuweather,4,4,2,0,9
3878014756,1,2,-,3,3,2,0,3
3878013956,1,8,Accuweather,4,1,2,0,5
3878012449,1,2,-,3,3,1,4,9
3878010983,1,7,-,3,3,2,0,9
3878010950,1,4,-,2,4,1,3,9
3878010904,1,2,-,1,4,2,0,7
3878010376,1,5,-,1,2,2,6,3
3878009694,1,1,-,4,4,1,3,9
3878009691,1,4,-,1,2,2,3,9
3878009582,1,8,Weather channel,1,3,1,0,9
3878009488,1,4,-,1,4,2,1,9
3878008863,1,7,-,3,4,1,0,8
3878007018,1,5,-,4,4,1,10,5
3878005790,1,4,-,4,1,2,2,8
3878001706,1,5,-,4,1,2,6,3
3877999985,0,4,-,1,3,2,6,9
3877998847,1,8,intellicast,3,4,1,0,5
3877998797,1,1,-,4,1,2,2,7
3877997607,1,1,-,4,1,2,0,3
3877996677,0,2,-,1,4,1,4,7
3877995949,1,1,-,2,3,2,5,9
3877995873,1,1,-,4,3,1,4,3
3877994295,0,1,-,3,1,2,0,5
3877993115,0,2,-,1,1,2,2,5
3877992847,1,5,-,3,3,1,0,9
3877992331,1,1,-,1,4,2,0,4
3877991281,1,5,-,4,3,2,3,7
3877990551,1,2,-,4,4,2,0,1
3877989849,1,1,-,4,4,1,7,8
3877989016,1,8,Weatherbug,1,4,1,4,7
3877986851,1,5,-,4,3,2,7,3
3877984798,0,5,-,1,1,2,2,5
3877983130,1,5,-,3,1,2,3,7
3877983122,1,1,-,4,3,1,9,7
3877982615,1,8,Weather.com,4,4,2,3,5
3877982204,0,4,-,2,1,2,3,2
3877981227,1,2,-,3,3,2,7,9
3877981098,1,8,the weather channel,4,2,2,5,2
3877980492,1,8,the weather channel,3,3,2,0,9
3877980484,0,5,-,2,1,2,1,9
3877980051,1,5,-,1,1,2,3,7
3877977794,1,1,-,4,3,1,6,2
3877976383,1,8,iPhone weather app,4,1,2,0,6
3877975104,1,1,-,3,999,999,999,999
3877973396,1,3,-,1,4,1,0,2
3877969129,1,8,The Weather Channel for iPhone or iPad,4,3,2,0,5
3877968802,1,7,-,3,4,2,6,9
3877966982,1,5,-,3,1,2,10,1
3877965710,1,8,m.accuweather.com,4,3,2,6,8
3877965544,1,2,-,1,4,1,5,8
3877961612,1,5,-,4,1,2,2,5
3877960106,0,4,-,2,1,2,3,9
3877958234,0,8,National Weather Service,3,3,2,6,8
3877957277,1,4,-,4,3,2,0,6
3877955881,0,2,-,1,3,2,7,7
3877955839,1,2,-,4,1,2,2,2
3877955798,1,5,-,4,4,1,4,4
3877954334,1,5,-,1,3,2,9,2
3877953647,1,4,-,4,4,2,5,9
3877950102,1,5,-,4,4,2,0,3
3877949696,1,5,-,1,2,2,0,5
3877949284,1,1,-,4,4,1,6,8
3877948332,1,2,-,4,3,2,3,2
3877946979,1,8,weather channel,1,2,2,8,9
3877946354,1,2,-,1,4,1,10,9
3877945582,1,4,-,4,3,2,0,5
3877943483,0,2,-,1,3,2,5,5
3877943300,1,4,-,4,1,2,2,1
3877942496,0,2,-,3,3,2,3,3
3877941352,1,1,-,4,3,1,4,6
3877941272,0,999,-,999,999,999,999,999
3877941245,1,4,-,3,2,2,4,2
3877939977,1,1,-,4,4,2,4,7
3877939933,1,1,-,4,3,1,7,3
3877939431,1,8,Google App,4,1,2,3,9
3877937093,1,4,-,4,1,2,0,7
3877936279,1,8,Accuweather,4,4,2,0,3
3877934942,1,999,-,999,999,999,999,999
3877934726,1,3,-,3,3,2,5,9
3877934192,1,5,-,4,3,2,10,8
3877934039,1,1,-,4,3,2,9,7
3877934025,1,8,Accuweather,3,3,2,3,2
3877933879,1,2,-,1,4,1,0,6
3877933017,1,8,The Weather Channel app on my phone.,4,3,1,5,3
3877930386,1,4,-,4,1,2,2,9
3877930133,1,2,-,4,4,2,0,5
3877926515,1,2,-,3,1,2,1,1
3877926252,1,3,-,1,4,1,10,7
3877922131,1,1,-,3,3,2,1,3
3877921800,1,4,-,3,4,1,7,9
3877921461,0,2,-,4,3,2,5,5
3877920147,0,4,-,1,2,2,5,2
3877919152,1,2,-,3,4,2,7,3
3877918818,0,5,-,3,1,2,8,9
3877916763,1,8,weather channel,4,4,1,7,4
3877914049,1,4,-,4,3,2,10,6
3877912517,1,6,-,4,4,1,5,7
3877911586,1,2,-,3,4,2,0,1
3877906211,1,8,WEatherbug,3,2,2,0,3
3877905346,0,2,-,1,3,2,8,8
3877904337,1,5,-,4,3,1,5,7
3877903810,0,2,-,4,3,2,0,3
3877903803,1,7,-,4,3,2,0,9
3877903037,1,8,weatherbug,3,2,2,0,5
3877902471,0,1,-,1,1,2,0,5
3877902073,1,8,DirecTv Weather App,1,3,1,0,9
3877901837,1,4,-,1,4,2,5,3
3877897238,1,8,The Weather Channel app,4,3,2,5,5
3877896109,1,3,-,1,4,2,10,9
3877893918,1,2,-,4,4,1,5,6
3877893684,1,4,-,4,4,2,3,9
3877893604,1,4,-,3,1,2,0,7
3877890420,1,2,-,3,3,2,6,9
3877890013,0,8,iphone,1,2,2,7,9
3877889922,1,8,smart phone,1,4,1,4,5
3877885176,1,5,-,4,1,2,5,3
3877885125,1,5,-,3,2,2,3,4
3877885019,1,2,-,3,4,2,0,7
3877884613,1,1,-,4,3,2,4,9
3877884192,0,2,-,1,4,2,3,9
3877880332,0,2,-,1,2,2,3,3
3877877032,1,8,Weather app,4,1,2,7,9
3877874628,1,8,accuweather,1,4,2,0,3
